Style_No,Pack_Qty,Product,Fabric_Type,Order_Category,Country,Price,Quantity,Pre,Temp,CCI,Order_Month
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Australia,1.67,980,46.67,27.92,100.3343,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,India,1.67,700,14.03,18.49,100.7772,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Italy,1.67,7560,69.56,6.21,102.191,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Japan,1.67,700,100.46,3.04,99.05020999999999,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Mexico,1.67,1050,20.67,17.87,103.4214,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,South Korea,1.67,700,10.8,1.25,100.7174,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Sweden,1.67,12320,35.65,-7.95,100.6832,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Turkey,1.67,700,84.55,3.22,94.64584,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,United Kingdom,1.67,12180,122.21,5.41,99.94845,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Australia,1.63,980,46.67,27.92,100.3343,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,India,1.63,700,14.03,18.49,100.7772,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Italy,1.63,7560,69.56,6.21,102.191,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Japan,1.63,700,100.46,3.04,99.05020999999999,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Mexico,1.63,1050,20.67,17.87,103.4214,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,South Korea,1.63,700,10.8,1.25,100.7174,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,Turkey,1.63,700,84.55,3.22,94.64584,12
ALGOT 5P BODY SS,5,BODY,RIB,ONLINE,India,1.63,675,14.03,18.49,100.7772,12
